Away Pts,Away Team,Home Pts,Home Team,xDate
112,San Antonio Spurs,114,Atlanta Hawks,"Sun, Jan 1, 2017"
104,Orlando Magic,117,Indiana Pacers,"Sun, Jan 1, 2017"
123,Toronto Raptors,114,Los Angeles Lakers,"Sun, Jan 1, 2017"
107,Detroit Pistons,98,Miami Heat,"Sun, Jan 1, 2017"
95,Portland Trail Blazers,89,Minnesota Timberwolves,"Sun, Jan 1, 2017"
101,Utah Jazz,89,Brooklyn Nets,"Mon, Jan 2, 2017"
111,Charlotte Hornets,118,Chicago Bulls,"Mon, Jan 2, 2017"
82,New Orleans Pelicans,90,Cleveland Cavaliers,"Mon, Jan 2, 2017"
119,Denver Nuggets,127,Golden State Warriors,"Mon, Jan 2, 2017"
91,Washington Wizards,101,Houston Rockets,"Mon, Jan 2, 2017"
98,Phoenix Suns,109,Los Angeles Clippers,"Mon, Jan 2, 2017"
94,Oklahoma City Thunder,98,Milwaukee Bucks,"Mon, Jan 2, 2017"
115,Orlando Magic,103,New York Knicks,"Mon, Jan 2, 2017"
104,Utah Jazz,115,Boston Celtics,"Tue, Jan 3, 2017"
105,Washington Wizards,113,Dallas Mavericks,"Tue, Jan 3, 2017"
120,Sacramento Kings,113,Denver Nuggets,"Tue, Jan 3, 2017"
121,Indiana Pacers,116,Detroit Pistons,"Tue, Jan 3, 2017"
102,Memphis Grizzlies,116,Los Angeles Lakers,"Tue, Jan 3, 2017"
91,Minnesota Timberwolves,93,Philadelphia 76ers,"Tue, Jan 3, 2017"
90,Miami Heat,99,Phoenix Suns,"Tue, Jan 3, 2017"
82,Toronto Raptors,110,San Antonio Spurs,"Tue, Jan 3, 2017"
112,Oklahoma City Thunder,123,Charlotte Hornets,"Wed, Jan 4, 2017"
106,Chicago Bulls,94,Cleveland Cavaliers,"Wed, Jan 4, 2017"
117,Portland Trail Blazers,125,Golden State Warriors,"Wed, Jan 4, 2017"
106,Memphis Grizzlies,115,Los Angeles Clippers,"Wed, Jan 4, 2017"
105,Milwaukee Bucks,104,New York Knicks,"Wed, Jan 4, 2017"
111,Atlanta Hawks,92,Orlando Magic,"Wed, Jan 4, 2017"
107,Miami Heat,102,Sacramento Kings,"Wed, Jan 4, 2017"
102,Phoenix Suns,95,Dallas Mavericks,"Thu, Jan 5, 2017"
127,San Antonio Spurs,99,Denver Nuggets,"Thu, Jan 5, 2017"
114,Charlotte Hornets,115,Detroit Pistons,"Thu, Jan 5, 2017"
116,Oklahoma City Thunder,118,Houston Rockets,"Thu, Jan 5, 2017"
109,Brooklyn Nets,121,Indiana Pacers,"Thu, Jan 5, 2017"
99,Atlanta Hawks,94,New Orleans Pelicans,"Thu, Jan 5, 2017"
109,Los Angeles Lakers,118,Portland Trail Blazers,"Thu, Jan 5, 2017"
93,Utah Jazz,101,Toronto Raptors,"Thu, Jan 5, 2017"
106,Philadelphia 76ers,110,Boston Celtics,"Fri, Jan 6, 2017"
116,Cleveland Cavaliers,108,Brooklyn Nets,"Fri, Jan 6, 2017"
128,Memphis Grizzlies,119,Golden State Warriors,"Fri, Jan 6, 2017"
100,Miami Heat,127,Los Angeles Lakers,"Fri, Jan 6, 2017"
116,New York Knicks,111,Milwaukee Bucks,"Fri, Jan 6, 2017"
100,Houston Rockets,93,Orlando Magic,"Fri, Jan 6, 2017"
106,Los Angeles Clippers,98,Sacramento Kings,"Fri, Jan 6, 2017"
105,Minnesota Timberwolves,112,Washington Wizards,"Fri, Jan 6, 2017"
108,New Orleans Pelicans,117,Boston Celtics,"Sat, Jan 7, 2017"
118,Toronto Raptors,123,Chicago Bulls,"Sat, Jan 7, 2017"
97,Atlanta Hawks,82,Dallas Mavericks,"Sat, Jan 7, 2017"
109,New York Knicks,123,Indiana Pacers,"Sat, Jan 7, 2017"
94,Utah Jazz,92,Minnesota Timberwolves,"Sat, Jan 7, 2017"
106,Denver Nuggets,121,Oklahoma City Thunder,"Sat, Jan 7, 2017"
85,Charlotte Hornets,102,San Antonio Spurs,"Sat, Jan 7, 2017"
105,Philadelphia 76ers,95,Brooklyn Nets,"Sun, Jan 8, 2017"
86,Miami Heat,98,Los Angeles Clippers,"Sun, Jan 8, 2017"
95,Orlando Magic,111,Los Angeles Lakers,"Sun, Jan 8, 2017"
79,Utah Jazz,88,Memphis Grizzlies,"Sun, Jan 8, 2017"
107,Washington Wizards,101,Milwaukee Bucks,"Sun, Jan 8, 2017"
120,Cleveland Cavaliers,116,Phoenix Suns,"Sun, Jan 8, 2017"
125,Detroit Pistons,124,Portland Trail Blazers,"Sun, Jan 8, 2017"
117,Golden State Warriors,106,Sacramento Kings,"Sun, Jan 8, 2017"
129,Houston Rockets,122,Toronto Raptors,"Sun, Jan 8, 2017"
109,Oklahoma City Thunder,94,Chicago Bulls,"Mon, Jan 9, 2017"
92,Dallas Mavericks,101,Minnesota Timberwolves,"Mon, Jan 9, 2017"
110,New Orleans Pelicans,96,New York Knicks,"Mon, Jan 9, 2017"
117,Atlanta Hawks,97,Brooklyn Nets,"Tue, Jan 10, 2017"
95,Miami Heat,107,Golden State Warriors,"Tue, Jan 10, 2017"
114,Charlotte Hornets,121,Houston Rockets,"Tue, Jan 10, 2017"
108,Portland Trail Blazers,87,Los Angeles Lakers,"Tue, Jan 10, 2017"
94,Detroit Pistons,100,Sacramento Kings,"Tue, Jan 10, 2017"
109,Milwaukee Bucks,107,San Antonio Spurs,"Tue, Jan 10, 2017"
106,Boston Celtics,114,Toronto Raptors,"Tue, Jan 10, 2017"
92,Cleveland Cavaliers,100,Utah Jazz,"Tue, Jan 10, 2017"
99,Chicago Bulls,101,Washington Wizards,"Tue, Jan 10, 2017"
108,Washington Wizards,117,Boston Celtics,"Wed, Jan 11, 2017"
96,Orlando Magic,105,Los Angeles Clippers,"Wed, Jan 11, 2017"
105,Houston Rockets,119,Minnesota Timberwolves,"Wed, Jan 11, 2017"
95,Memphis Grizzlies,103,Oklahoma City Thunder,"Wed, Jan 11, 2017"
97,New York Knicks,98,Philadelphia 76ers,"Wed, Jan 11, 2017"
86,Cleveland Cavaliers,102,Portland Trail Blazers,"Wed, Jan 11, 2017"
104,New Orleans Pelicans,95,Brooklyn Nets,"Thu, Jan 12, 2017"
112,Indiana Pacers,140,Denver Nuggets,"Thu, Jan 12, 2017"
107,Detroit Pistons,127,Golden State Warriors,"Thu, Jan 12, 2017"
89,Chicago Bulls,104,New York Knicks,"Thu, Jan 12, 2017"
113,Dallas Mavericks,108,Phoenix Suns,"Thu, Jan 12, 2017"
94,Los Angeles Lakers,134,San Antonio Spurs,"Thu, Jan 12, 2017"
103,Boston Celtics,101,Atlanta Hawks,"Fri, Jan 13, 2017"
110,Memphis Grizzlies,105,Houston Rockets,"Fri, Jan 13, 2017"
108,Miami Heat,116,Milwaukee Bucks,"Fri, Jan 13, 2017"
86,Oklahoma City Thunder,96,Minnesota Timberwolves,"Fri, Jan 13, 2017"
93,Charlotte Hornets,102,Philadelphia 76ers,"Fri, Jan 13, 2017"
115,Orlando Magic,109,Portland Trail Blazers,"Fri, Jan 13, 2017"
120,Cleveland Cavaliers,108,Sacramento Kings,"Fri, Jan 13, 2017"
113,Brooklyn Nets,132,Toronto Raptors,"Fri, Jan 13, 2017"
77,Detroit Pistons,110,Utah Jazz,"Fri, Jan 13, 2017"
99,New Orleans Pelicans,107,Chicago Bulls,"Sat, Jan 14, 2017"
97,Los Angeles Lakers,113,Los Angeles Clippers,"Sat, Jan 14, 2017"
105,San Antonio Spurs,108,Phoenix Suns,"Sat, Jan 14, 2017"
